Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17622.0,22447.0,22455.0,22455.0,30283.0,39148.0,49225.0,58779.0,67614.0,68095.0,68095.0,79287.0,88129.0,96179.0,103097.0,109575.0,109619.0,109624.0,115836.0,121096.0,125681.0,130497.0,134458.0,134594.0,134594.0,142054.0,150067.0,157628.0,163991.0,169552.0,169602.0,169602.0,175602.0,181850.0,187553.0,194062.0,199745.0,199951.0,199951.0,206336.0,213003.0,218770.0,224414.0,229863.0,229965.0,229965.0,235958.0,241805.0,247930.0,254255.0,260995.0,261428.0,261428.0,267295.0,272815.0,277828.0,283418.0,283427.0,283427.0,283429.0,287357.0,291952.0,296269.0,299972.0,303367.0,303429.0,303429.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6431.0,8042.0,8545.0,8557.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8593.0,8597.0,8610.0,8639.0,8642.0,8642.0,8642.0,8646.0,8710.0,12377.0,16955.0,21465.0,21484.0,21485.0,28892.0,37434.0,47456.0,56698.0,65264.0,65620.0,65622.0,77668.0,87856.0,97445.0,106460.0,113862.0,113910.0,113913.0,121142.0,125353.0,128403.0,130848.0,133257.0,133335.0,133336.0,138962.0,145997.0,153075.0,159590.0,159692.0,159694.0,159697.0,169372.0,176154.0,181932.0,188343.0,193379.0,193476.0,193477.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13338.0,22448.0,30502.0,31631.0,31633.0,42806.0,57229.0,72079.0,86313.0,100192.0,102267.0,102268.0,118674.0,132771.0,143392.0,152461.0,160758.0,161140.0,161140.0,168619.0,175433.0,181200.0,186065.0,191185.0,191799.0,191800.0,199323.0,209516.0,217988.0,225515.0,232556.0,232967.0,232967.0,240929.0,248762.0,256770.0,266771.0,275952.0,276651.0,276651.0,285656.0,295039.0,303406.0,311204.0,318824.0,319248.0,319248.0,326518.0,333636.0,340999.0,348108.0,355258.0,355547.0,355547.0,362660.0,368740.0,374143.0,380123.0,380140.0,380158.0,380158.0,383962.0,388570.0,393240.0,396950.0,400503.0,400664.0,400664.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12144.0,20926.0,28657.0,29856.0,29860.0,40695.0,54196.0,68604.0,82409.0,96203.0,98122.0,98130.0,114877.0,130194.0,142011.0,152099.0,161646.0,161944.0,161945.0,169528.0,175273.0,180289.0,184113.0,187705.0,187782.0,187782.0,194610.0,203836.0,211795.0,219940.0,220304.0,220320.0,220320.0,232648.0,240889.0,248895.0,258541.0,267008.0,267329.0,267332.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44057.0,57029.0,70061.0,82192.0,93500.0,96642.0,96766.0,110870.0,121568.0,129267.0,135969.0,142303.0,142689.0,142696.0,148304.0,153553.0,158616.0,163571.0,169042.0,169380.0,169380.0,175436.0,182100.0,188565.0,194298.0,199543.0,200323.0,200434.0,206388.0,212844.0,218956.0,226025.0,232730.0,234208.0,234223.0,241361.0,249528.0,256322.0,263047.0,268349.0,269277.0,269285.0,275231.0,282172.0,289771.0,297230.0,304006.0,304557.0,304557.0,310362.0,316344.0,322600.0,329159.0,329164.0,329171.0,329171.0,333102.0,337778.0,342223.0,345261.0,348066.0,348207.0,348207.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9651.0,17669.0,25542.0,28433.0,28750.0,40899.0,53147.0,65664.0,77770.0,88646.0,91608.0,91673.0,105928.0,118932.0,128583.0,137262.0,143975.0,144369.0,144380.0,151820.0,157427.0,161421.0,164376.0,166759.0,166797.0,166797.0,171371.0,176923.0,183303.0,189781.0,189793.0,189798.0,189799.0,198592.0,204891.0,210966.0,216362.0,222218.0,222488.0,222489.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28010.0,35141.0,42233.0,47638.0,48446.0,48889.0,54486.0,58345.0,61683.0,64673.0,67468.0,67541.0,67595.0,70589.0,73051.0,75188.0,77108.0,78664.0,78683.0,78684.0,80687.0,84536.0,88730.0,92195.0,95043.0,95199.0,95234.0,98716.0,102474.0,105759.0,109977.0,113076.0,113225.0,113355.0,116967.0,120845.0,123971.0,126435.0,129190.0,129323.0,129524.0,132809.0,135913.0,139146.0,143074.0,147099.0,147259.0,147263.0,150477.0,152935.0,155321.0,157883.0,158010.0,158136.0,158203.0,159718.0,161393.0,162910.0,164593.0,166444.0,166581.0,166609.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4866.0,9317.0,13708.0,14216.0,14597.0,19751.0,26494.0,33431.0,40384.0,45592.0,46392.0,46864.0,52733.0,57780.0,62001.0,65647.0,68786.0,68929.0,68983.0,72154.0,74135.0,75488.0,76764.0,77752.0,77786.0,77788.0,79157.0,82410.0,86147.0,90296.0,90558.0,90666.0,90699.0,95292.0,99093.0,102264.0,106027.0,109224.0,109337.0,109391.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8985.0,9021.0,9021.0,12183.0,15501.0,20137.0,23655.0,26708.0,26714.0,26720.0,30331.0,32713.0,35308.0,37068.0,38788.0,38990.0,39000.0,39848.0,40568.0,41481.0,42479.0,43317.0,43405.0,43405.0,45573.0,47965.0,50160.0,51920.0,53452.0,53461.0,53465.0,54726.0,56026.0,57242.0,58919.0,60172.0,60176.0,60217.0,61670.0,63471.0,64749.0,66178.0,67578.0,67591.0,67602.0,69182.0,70607.0,72171.0,73535.0,75467.0,75478.0,75480.0,76843.0,78097.0,79364.0,80725.0,80726.0,80726.0,80726.0,81591.0,82883.0,84179.0,85187.0,85951.0,85954.0,85955.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6245.0,8473.0,8519.0,8521.0,11644.0,14754.0,19188.0,22720.0,25746.0,25758.0,25765.0,29355.0,32047.0,35150.0,37423.0,39286.0,39298.0,39300.0,40189.0,41038.0,41479.0,42103.0,42646.0,42655.0,42655.0,44248.0,46831.0,48969.0,50816.0,50817.0,50821.0,50823.0,52764.0,54290.0,55530.0,57047.0,58237.0,58243.0,58244.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7468.0,7468.0,10863.0,14865.0,19679.0,23995.0,28212.0,28383.0,28383.0,33617.0,38453.0,41934.0,44133.0,46278.0,46387.0,46387.0,47963.0,49676.0,52050.0,54197.0,55710.0,55783.0,55783.0,57686.0,59597.0,61299.0,63082.0,65077.0,65187.0,65187.0,67067.0,68797.0,70368.0,72496.0,74653.0,74855.0,74855.0,77140.0,79671.0,82021.0,84413.0,86991.0,87230.0,87230.0,89624.0,92054.0,94728.0,96963.0,99686.0,99790.0,99790.0,102259.0,104412.0,106405.0,108335.0,108363.0,108391.0,108431.0,110253.0,112409.0,114594.0,116284.0,117931.0,118078.0,118092.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10148.0,14042.0,18578.0,22658.0,26779.0,26982.0,26982.0,32040.0,37444.0,42312.0,45965.0,48652.0,48814.0,48814.0,50679.0,51762.0,52724.0,53504.0,54376.0,54429.0,54429.0,56017.0,57716.0,59361.0,61487.0,61488.0,61488.0,61490.0,64438.0,66400.0,68193.0,70149.0,71764.0,71898.0,71900.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19413.0,37411.0,56787.0,58073.0,58111.0,85906.0,116228.0,149504.0,180751.0,208596.0,209925.0,209925.0,243720.0,273489.0,297900.0,318550.0,337078.0,337757.0,337870.0,349235.0,358375.0,366190.0,374827.0,384430.0,388106.0,388122.0,401460.0,419746.0,440273.0,459218.0,477043.0,477345.0,477345.0,493398.0,508837.0,524501.0,545960.0,563726.0,564950.0,564950.0,581371.0,599768.0,616856.0,635211.0,651807.0,652914.0,653124.0,668513.0,683114.0,698808.0,714556.0,731074.0,731444.0,731471.0,748271.0,762326.0,775094.0,788935.0,789097.0,789288.0,789328.0,797194.0,806935.0,816659.0,824371.0,831952.0,832538.0,832650.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2916.0,18116.0,35340.0,53909.0,55032.0,55039.0,81830.0,111343.0,143550.0,173975.0,201234.0,202250.0,202262.0,235239.0,267660.0,294902.0,320111.0,339211.0,339888.0,339964.0,354718.0,366476.0,373294.0,378905.0,383369.0,383455.0,383479.0,395885.0,411689.0,431855.0,453960.0,454537.0,454749.0,454770.0,479164.0,495716.0,511231.0,531900.0,549271.0,550061.0,550095.0
